Year,Game,Continent,Open
1980,Olympics,EU,1
1980,Olympics,North America,1
1981,,,0
1982,World cup,EU,1
1983,,,0
1984,Olympics,North America,1
1984,Olympics,EU,1
1985,,,0
1986,World cup,Other,1
1987,,,0
1988,Olympics,North America,1
1988,Olympics,Other,1
1989,,,0
1990,Olympics,Other,1
1990,World cup,EU,1
1991,,,0
1992,Olympics,EU,1
1993,,,0
1994,World cup,North America,1
1994,Olympics,EU,1
1995,,,0
1996,Olympics,North America,1
1997,,,0
1998,Olympics,Other,1
1998,World cup,EU,1
1999,,,0
2000,Olympics,Other,1
2001,,,0
2002,Olympics,North America,1
2002,World cup,Other,1
2003,,,0
2004,Olympics,EU,1
2005,,,0
2006,Olympics,EU,1
2006,World cup,EU,1
2007,,,0
2008,Olympics,Other,1
2009,,,0
2010,Olympics,North America,1
2010,World cup,Other,1
2011,,,0
2012,Olympics,EU,1
2013,,,0
2014,Olympics,EU,1
2014,World cup,Other,1
2015,,,0
2016,Olympics,Other,1